90,40,30,40,70,90,70,50,140,220,90,50,70,80,70,50,20,70,100,70,80,80,180,70,60,130,20,80,80,30,50,70,90,100,80,70,20,80,30,10,10,10,30,40,30,20,20,50,60,30,0,20,10,10,30
50,80,50,30,20,60,50,100,50,60,70,60,0,30,20,60,60,20,140,20,170,40,10,110,60,60,60,90,80,30,30,100,20,80,50,50,50,30,50,0,20,30,60,40,10,20,20,20,20,10,60,0,10,20,10
20,70,40,50,50,80,20,20,30,110,60,70,40,60,30,40,20,70,60,20,80,20,60,0,20,50,50,60,30,0,40,50,40,80,30,90,30,30,50,20,50,50,20,40,30,10,50,40,20,0,0,30,30,20,0
10,40,20,40,50,70,10,110,20,100,50,40,30,100,30,30,40,10,60,110,50,20,30,0,80,30,20,20,10,40,50,30,40,10,100,50,10,20,60,50,10,0,20,20,10,30,30,60,20,30,10,0,20,30,30
20,10,30,50,90,80,30,10,40,40,30,120,30,20,140,50,150,30,80,70,30,30,30,10,20,30,40,70,10,40,30,30,30,60,20,30,20,10,40,20,10,20,40,30,0,10,30,20,10,30,20,40,50,50,50
30,60,40,60,10,40,20,30,40,120,50,60,70,50,20,80,20,70,40,60,20,40,60,60,20,20,20,80,10,50,40,10,0,30,10,50,40,10,50,40,40,50,30,10,70,30,30,20,30,20,10,10,10,10,0
30,30,30,30,50,40,20,40,50,30,140,10,20,40,30,60,40,60,40,40,20,50,10,50,0,10,50,110,20,40,20,30,60,30,0,30,10,20,50,40,20,10,40,10,20,30,20,20,50,10,40,10,60,30,20
30,40,40,40,20,60,30,30,30,50,10,20,40,30,30,60,30,30,60,20,0,20,20,90,40,30,80,20,30,10,10,30,10,30,40,60,20,0,20,10,10,10,10,50,20,40,10,40,30,10,40,20,20,20,10
30,40,20,40,50,20,30,10,110,30,10,40,90,30,30,60,60,30,30,0,40,10,10,20,20,30,40,60,0,20,40,70,60,0,90,10,10,20,10,0,10,40,10,0,20,20,50,40,30,30,10,50,20,20,10
0,20,40,30,30,60,30,50,30,160,20,20,20,70,40,130,10,120,20,20,10,150,100,110,60,10,120,50,10,90,30,40,0,40,60,30,40,60,10,20,10,50,60,20,10,60,50,30,0,40,20,10,40,30,10
40,20,40,70,60,30,150,10,10,20,70,30,10,20,60,40,20,10,40,70,40,40,30,50,30,30,60,40,100,40,130,20,20,10,10,20,20,50,90,20,20,30,0,40,10,40,30,10,20,10,50,60,20,40,20
10,10,60,70,30,20,30,90,50,30,20,30,10,140,10,50,20,10,100,20,60,30,60,50,10,60,40,10,20,20,10,30,20,40,40,10,30,20,50,30,20,20,20,40,40,50,30,30,20,10,20,20,30,20,10
30,40,10,30,30,60,40,50,10,0,10,160,0,20,50,40,20,0,30,30,20,0,40,70,20,120,10,60,50,20,20,20,30,10,20,0,20,40,60,40,0,10,10,50,20,80,60,30,20,30,20,30,40,50,70
10,30,70,40,40,40,20,20,30,20,20,80,10,20,60,30,20,10,50,80,10,40,0,90,20,0,40,50,70,20,20,40,30,30,50,30,20,10,30,60,40,30,20,40,10,30,40,30,20,30,20,20,70,30,20
30,30,50,90,30,0,10,0,10,10,30,60,20,80,120,30,60,30,20,30,30,30,70,40,40,10,40,20,40,50,40,20,30,0,40,30,50,50,30,40,20,40,20,0,20,30,30,30,30,20,20,20,40,40,50
50,20,60,40,50,20,20,50,50,110,190,40,70,150,90,70,140,190,120,90,110,10,120,120,190,100,90,100,90,90,110,50,20,10,10,0,30,20,10,40,40,30,20,40,20,30,30,30,0,30,40,10,30,20,0
10,10,0,30,10,20,40,40,60,80,20,10,0,130,60,100,70,130,100,90,110,40,70,60,90,80,60,60,80,50,80,10,0,20,50,30,30,20,30,110,10,10,20,10,20,40,20,10,0,0,20,20,20,20,10
20,30,20,10,10,20,120,40,40,120,40,20,90,30,40,40,40,20,20,40,20,20,30,140,90,10,30,40,10,20,10,20,40,30,20,30,30,20,40,90,0,20,40,0,30,30,30,30,10,0,10,10,10,10,60
20,50,50,40,60,40,30,20,30,50,30,0,40,10,0,20,50,10,30,40,10,40,10,20,20,10,2790,110,20,30,70,0,20,60,0,30,50,20,60,10,30,50,40,0,10,30,30,40,50,0,30,20,20,10,40
10,20,50,20,20,30,20,130,20,40,50,30,0,30,40,5170,30,40,20,10,7150,110,40,50,20,60,30,20,10,50,30,30,30,50,10,40,10,10,20,10,60,10,20,30,10,10,50,10,50,10,20,40,40,40,30
30,70,40,10,60,10,80,30,50,10,10,100,40,110,0,10,20,90,10,30,40,40,60,40,20,40,60,10,10,90,80,40,40,10,20,70,0,20,60,10,10,60,40,30,10,30,10,60,20,0,20,20,10,20,10
20,50,60,30,20,40,40,40,0,30,0,20,30,40,50,40,10,30,120,10,10,30,20,20,40,20,50,60,10,10,50,50,0,50,0,10,40,20,40,50,30,40,30,50,30,10,10,0,70,20,10,40,20,10,20
30,10,60,0,50,50,10,20,50,30,100,0,20,10,20,70,40,10,20,20,10,10,10,30,10,30,20,40,100,10,60,50,10,30,10,30,30,0,30,20,20,0,10,30,60,20,30,20,20,20,20,0,0,20,30
10,10,10,0,40,30,40,30,30,20,30,20,30,40,60,30,20,30,40,30,90,10,40,40,20,0,140,30,30,30,10,40,30,20,50,30,10,40,30,20,0,10,50,10,20,50,50,40,30,50,10,20,30,50,30
40,20,50,40,20,20,130,50,60,10,30,80,10,9800,140,40,0,20,40,110,20,20,10,40,0,100,40,10,10,40,10,20,20,10,60,30,40,0,30,30,10,20,10,30,20,30,10,20,30,40,40,20,40,0,40
10,10,20,40,40,30,30,20,110,100,20,40,90,30,30,40,10,10,40,30,20,50,20,20,30,50,10,50,30,10,30,10,20,70,50,40,10,10,40,0,10,10,50,30,20,20,60,20,30,0,20,10,20,20,20
40,30,40,10,30,20,40,20,10,30,0,30,30,20,30,20,50,40,50,10,70,10,30,30,20,30,110,40,20,20,30,40,20,30,30,30,50,50,60,60,30,20,20,50,0,30,30,10,20,30,10,20,40,10,20
20,20,40,10,40,20,20,120,10,10,10,10,50,10,10,30,110,0,40,40,20,20,30,10,50,20,40,40,0,20,30,0,30,10,40,10,30,30,20,40,10,30,0,30,10,20,20,20,60,40,60,20,0,30,30
10,30,30,40,20,30,40,10,40,40,10,120,20,30,0,150,30,30,0,10,0,10,30,120,30,30,30,30,10,40,0,30,0,50,30,40,20,70,10,20,30,0,30,40,40,0,10,30,0,0,20,10,50,10,80
20,10,40,30,60,30,40,50,40,30,20,10,30,150,10,60,30,0,90,20,20,10,70,10,130,30,20,20,40,10,20,50,0,20,40,30,10,0,10,30,40,30,50,0,70,0,30,20,30,30,60,30,40,20,30
0,100,0,20,0,20,90,30,30,10,10,40,50,20,30,50,30,30,10,10,10,90,140,50,0,80,30,100,7490,40,130,10,20,10,10,30,20,30,40,20,10,40,50,40,60,10,20,0,40,40,40,20,70,10,10
30,30,40,0,10,30,20,40,110,100,140,40,60,80,60,60,80,110,180,60,70,110,80,70,60,50,90,50,60,130,40,10,40,20,30,20,30,10,20,10,10,30,30,10,60,30,40,20,10,10,20,30,50,30,80
10,70,0,10,0,10,20,20,30,10,60,40,10,10,30,40,40,90,40,10,50,40,10,10,20,30,30,50,0,20,10,60,10,30,40,10,60,10,10,20,40,0,0,40,20,10,0,40,40,10,20,20,60,30,10
20,40,50,10,20,30,20,70,80,30,30,20,50,40,30,40,30,20,60,0,40,20,30,40,20,0,20,40,60,20,20,30,10,20,20,50,40,30,40,40,30,30,40,30,20,40,20,40,50,10,20,10,90,10,0
10,40,20,0,30,10,50,30,100,70,50,30,110,20,120,50,50,30,20,20,150,40,30,20,20,40,30,40,30,10,30,10,10,0,10,20,40,30,10,50,40,40,0,10,20,20,10,30,30,30,30,10,30,30,50
10,20,10,40,40,10,40,140,10,20,10,50,50,10,40,0,0,20,30,160,80,40,10,50,20,10,50,1970,20,40,20,50,40,10,40,20,50,20,30,40,20,70,30,20,60,10,40,0,20,50,30,40,40,30,20
10,40,30,10,10,30,60,20,10,20,40,100,40,50,40,20,10,10,60,10,20,10,50,60,0,140,50,7230,10,0,20,30,10,30,10,50,10,10,30,90,20,30,20,20,20,30,30,30,20,30,20,30,10,20,0
60,30,70,30,50,20,110,40,20,40,40,40,10,20,20,60,30,50,20,50,0,10,40,9170,30,40,40,40,0,30,30,20,30,10,20,20,20,0,20,30,40,50,70,10,10,10,10,10,40,50,20,10,30,10,20
40,20,80,0,20,20,40,10,40,20,0,20,10,120,30,100,20,0,0,20,10,30,20,30,30,10,20,20,30,40,10,40,20,30,20,30,10,40,20,20,50,0,10,10,10,40,10,40,50,20,20,0,30,30,30
10,10,20,10,70,30,30,20,10,0,140,40,0,50,40,40,90,40,40,30,40,30,120,110,20,10,20,50,20,50,30,0,20,0,0,40,30,0,30,50,30,50,10,30,20,10,20,20,20,30,20,40,30,10,20
30,0,20,40,30,30,20,30,80,40,50,0,10,40,40,30,10,40,30,10,30,120,10,50,180,20,70,60,0,0,70,40,10,20,30,10,10,70,20,20,30,30,0,40,10,30,10,10,10,20,10,30,40,40,60
10,10,20,30,30,50,30,0,30,30,10,70,40,20,30,30,40,50,30,20,30,20,30,30,40,30,20,120,10,90,30,30,30,50,20,30,30,20,30,50,20,50,50,30,10,20,0,70,60,40,10,0,60,20,40
10,10,60,30,10,70,30,20,120,20,40,10,100,40,40,50,40,150,120,20,50,10,30,40,30,60,40,20,20,10,10,20,20,30,30,50,30,40,0,60,20,80,40,10,20,50,50,20,0,30,50,30,40,40,40
20,20,40,30,10,70,150,40,70,90,30,30,60,20,130,10,80,40,50,30,50,20,20,70,50,40,40,30,20,60,0,30,30,40,30,20,20,40,40,20,30,20,20,10,10,10,40,10,40,30,0,20,40,40,20
20,30,10,10,30,40,10,100,10,40,5280,30,10,50,30,40,50,40,0,60,100,20,20,30,40,40,60,20,20,9670,10,40,30,60,50,30,100,20,10,10,0,10,230,30,50,20,20,20,30,30,20,20,40,0,20
10,40,10,70,50,20,50,40,60,90,60,140,40,40,20,10,100,90,80,90,110,20,40,50,160,40,70,60,150,30,60,20,10,50,0,30,40,20,30,40,10,70,50,70,20,40,10,40,30,40,20,10,30,0,20
40,10,50,30,50,20,20,10,70,30,80,10,20,110,10,60,30,10,60,120,50,20,30,0,10,20,20,30,0,10,20,40,20,10,20,10,60,40,40,10,30,30,20,30,10,30,50,10,20,20,40,20,40,10,20
30,50,0,50,60,10,30,30,20,20,110,30,30,70,60,60,30,80,40,60,40,30,30,40,30,30,10,50,0,70,30,40,20,20,20,20,50,20,30,40,30,30,30,10,30,30,40,30,20,50,20,20,20,20,20
20,30,20,0,20,30,30,30,20,90,10,30,30,20,0,110,30,20,30,20,40,20,10,50,10,110,90,40,20,20,30,20,0,50,40,10,20,10,60,10,20,50,70,20,30,40,40,70,70,50,40,10,20,0,30
20,30,40,60,30,30,10,50,30,20,40,20,50,10,50,70,60,10,40,30,40,20,20,20,30,10,20,20,10,20,40,30,20,20,20,20,40,30,50,10,20,50,80,40,20,50,10,0,20,10,20,20,20,20,10
30,20,70,10,40,70,30,10,50,20,10,40,10,20,30,10,20,60,10,40,30,20,110,130,10,30,50,10,20,20,100,40,20,70,20,20,40,10,10,20,10,40,20,40,20,40,20,40,20,10,0,50,20,30,30
40,30,10,10,20,60,70,30,0,20,40,30,120,20,20,30,100,10,20,0,30,110,20,40,40,20,0,30,20,40,40,10,50,30,40,30,10,10,10,10,30,30,20,40,20,40,30,20,30,20,40,40,40,30,20
